Retailer Number,Retailer,category no,Staging table Name,Target Table,S3Flag,MySQLFlag,ESFlag
120,ebay,1,PRICE_DOT_COM_STAGING.STG_EBAY_COLLECTIBLES,,1,1,1
120,ebay,1281,PRICE_DOT_COM_STAGING.STG_EBAY_PETS,,1,1,1
120,ebay,267,PRICE_DOT_COM_STAGING.STG_EBAY_BOOKS,,1,1,1
120,ebay,237,PRICE_DOT_COM_STAGING.STG_EBAY_DOLLS,,1,1,1
120,ebay,550,PRICE_DOT_COM_STAGING.STG_EBAY_ARTS,,1,1,1
120,ebay,293,PRICE_DOT_COM_STAGING.STG_EBAY_ELECTRONICS,,1,1,1
120,ebay,870,PRICE_DOT_COM_STAGING.STG_EBAY_GLASS,,1,1,1
120,ebay,281,PRICE_DOT_COM_STAGING.STG_EBAY_JEWELRY_WATCHES,,1,1,1
120,ebay,619,PRICE_DOT_COM_STAGING.STG_EBAY_MUSICINSTRUMENT,,1,1,1
120,ebay,625,PRICE_DOT_COM_STAGING.STG_EBAY_PHOTOS,,1,1,1
120,ebay,316,PRICE_DOT_COM_STAGING.STG_EBAY_SPECIAL_SERVICES,,1,1,1
120,ebay,220,PRICE_DOT_COM_STAGING.STG_EBAY_TOYS,,1,1,1
120,ebay,1249,PRICE_DOT_COM_STAGING.STG_EBAY_VIDEOGAMES,,1,1,1
120,ebay,2984,PRICE_DOT_COM_STAGING.STG_EBAY_BABY,,1,1,1
120,ebay,3252,PRICE_DOT_COM_STAGING.STG_EBAY_TRAVEL,,1,1,1
120,ebay,11232,PRICE_DOT_COM_STAGING.STG_EBAY_MOVIES,,1,1,1
120,ebay,11233,PRICE_DOT_COM_STAGING.STG_EBAY_MUSIC,,1,1,1
120,ebay,11450,PRICE_DOT_COM_STAGING.STG_EBAY_CLOTH,,1,1,1
120,ebay,20081,PRICE_DOT_COM_STAGING.STG_EBAY_HOME,,1,1,1
120,ebay,26395,PRICE_DOT_COM_STAGING.STG_EBAY_USED_HEALTH,,1,1,1
120,ebay,58058,PRICE_DOT_COM_STAGING.STG_EBAY_USED_COMPUTERS,,1,1,1
120,ebay,64482,PRICE_DOT_COM_STAGING.STG_EBAY_USED_SPORTSMEM,,1,1,1
120,ebay,172008,PRICE_DOT_COM_STAGING.STG_EBAY_GIFTS,,1,1,1
120,ebay,888,PRICE_DOT_COM_STAGING.STG_EBAY_SPORTS_GOODS,,1,1,1
120,ebay,20081,PRICE_DOT_COM_STAGING.STG_EBAY_ANTIQUES,,1,1,1
120,ebay,12576,PRICE_DOT_COM_STAGING.STG_EBAY_USED_BUSINESS,,1,1,1
120,ebay,14339,PRICE_DOT_COM_STAGING.STG_EBAY_USED_CRAFTS,,1,1,1
120,ebay,15032,PRICE_DOT_COM_STAGING.STG_EBAY_USED_MOBILE,,1,1,1
120,ebay,172008,PRICE_DOT_COM_STAGING.STG_EBAY_USED_SAMPLE,,0,0,0
